country,city,annual_congestion_2025_pct,annual_tt10_2025_sec,annual_average_speed_2025_kmh,monthly_mean_congestion_2024_2025_pct,monthly_sd_congestion_2024_2025_pct,monthly_cv_congestion_2024_2025,mean_congestion_2024_pct,mean_congestion_2025_pct,change_2025_minus_2024_pp,am_tt10_sec,pm_tt10_sec,delta_pm_minus_am_tt10_sec,am_speed_kmh,pm_speed_kmh,delta_pm_minus_am_speed_kmh,peak_asymmetry_index_pai,population,population_density_per_km2,motor_vehicles_per_1000_people,road_length_km,people_per_km_road,road_length_per_1000_people_km,pt_mode_share_pct,rapid_transit_length_km,pt_supply_score_0_3,its_signal_score_0_3,pt_source_ids,its_source_ids,pt_confidence,its_confidence,context_notes
Philippines,Davao City,66.2,2057,16.2,65.625,3.786,0.05769,65.417,65.833,0.417,2222.0,2813.0,591.0,16.2,12.8,-3.4,0.23476,1848947,756.6,227,1520.0,1216,0.8220895461038094,1,0,2,2,S006; S020,S020,High,Medium,"Score 2 reflects major formal bus modernization project, not mature current rapid transit."
Philippines,Manila,57.0,1905,17.2,56.333,4.125,0.07322,56.667,56.0,-0.667,2093.0,2609.0,516.0,17.2,13.8,-3.4,0.21948,14942000,24117.0,241,5230.0,2857,0.3500200776335162,49,76,3,3,S007,S019,High,High,Use Metro Manila as functional area proxy for Manila.
Singapore,Singapore,43.9,1281,26.1,42.708,2.612,0.06117,43.833,41.583,-2.25,1379.0,1698.0,319.0,26.1,21.2,-4.9,0.20734,6111200,8210.7,163,3522.0,1735,0.5763188899070558,,,3,3,S012,S011,High,High,Exact PT modal share not extracted here; add from SingStat if a single comparable denominator is selected.
Thailand,Bangkok,67.9,1379,23.3,67.25,4.627,0.06881,67.917,66.583,-1.333,1545.0,1885.0,340.0,23.3,19.1,-4.2,0.19825,10539000,6718.0,1091,4850.0,2173,0.4601954644653193,,108,3,3,S008,S008,High,Medium,Need official BMA/OTP signal-control percentage if available.
Thailand,Chiang Mai,48.7,1452,24.3,49.292,5.56,0.11279,48.083,50.5,2.417,1481.0,1782.0,301.0,24.3,20.2,-4.1,0.18449,1198000,2958.0,768,2045.0,585,1.7070116861435725,,0,1,0,S025,,Medium,Low,PT evidence is basic bus service; ITS score conservative.
Thailand,Hat Yai,55.2,1513,23.0,55.25,4.445,0.08046,54.917,55.583,0.667,1565.0,1809.0,244.0,23.0,19.9,-3.1,0.14464,404044,473.8,1385,1655.0,244,4.096088544811951,,0,1,0,S030,,Low,Low,Weakest row in the dataset; needs official Hat Yai municipal verification.
Thailand,Khon Kaen,44.8,1385,24.4,44.375,2.374,0.0535,44.667,44.083,-0.583,1475.0,1674.0,199.0,24.4,21.5,-2.9,0.12639,412758,432.9,1259,1680.0,245,4.070181559170265,,0,1,1,S026; S027,S026; S027,Medium,Low,Planned LRT is not counted as current rapid transit supply.
Thailand,Nakhon Ratchasima,41.4,1309,24.9,42.083,2.796,0.06644,41.333,42.833,1.5,1446.0,1651.0,205.0,24.9,21.8,-3.1,0.13239,466098,617.0,1458,1288.0,361,2.763367360512167,,0,1,0,S028; S029,,Medium,Low,Current public transport supply uncertain; treat as basic bus/e-bus planning.
Vietnam,Ha Noi,43.2,1513,15.3,41.75,4.12,0.09869,42.833,40.667,-2.167,2353.0,2647.0,294.0,15.3,13.6,-1.7,0.1176,8807523,2622.4,863,4560.0,1931,0.5177392099912768,1,36,2,2,S009,S035,High,Medium,ITS score should be marked as post-2025 evidence if used with 2024-2025 traffic KPIs.
Vietnam,Ho Chi Minh,46.9,1915,17.0,45.333,4.631,0.10216,44.083,46.583,2.5,2118.0,2432.0,314.0,17.0,14.8,-2.2,0.13802,8899866,4317.8,1045,4420.0,2013,0.49663669093444773,1.4,19.7,2,3,S021; S022,S023; S024,High,High,ATO Ho Chi Minh PDF link currently redirected to Hanoi during this collection pass; use WB/Metro/SWARCO/Vietnamnet instead.
